average_duration_ns,average_metric_1,average_metric_2
407479027,0,2.0
285632711,9,8.751555999999999
187400500,19,15.045367999999998
145690426,29,21.489943999999994
121152721,39,28.76930800000001
101043779,49,35.068512000000005
91831323,59,42.49251599999998
83975452,69,49.582471999999996
71520293,79,55.87333600000002
68256576,89,62.715435999999976
61389024,99,69.043768
59653415,108,76.002876
53019640,118,81.58857199999998
50547493,128,89.11409999999997
47762728,138,94.62483999999996
42433730,147,100.97394000000004
42209383,157,107.78659599999999
44092449,167,113.59516399999991
37676694,176,121.38030800000003
36232182,186,127.7397
36243052,196,133.91362800000002
36130197,205,140.026416
33817795,215,146.664264
32231389,224,152.42350799999994
32082559,234,160.22464799999997
30485181,243,166.05370399999995
28868257,253,172.18062800000004
28316532,262,177.98883199999997
26586355,272,183.27306800000002
26849234,281,194.05671600000008
26075103,291,200.934712
23544588,300,205.33240400000003
24662365,309,212.8950240000001
22251198,318,219.59524399999992
24095550,328,223.6573119999999
23193821,337,231.95402400000006
22930553,347,235.58986399999995
21846548,356,243.0453079999999
21353792,365,251.7576359999999
20806190,375,258.013592
20110000,383,262.6213560000001
20136239,393,270.34806399999997
19306125,403,276.5249
19191195,411,281.2512840000001
19926550,421,288.5660559999999
18725417,430,296.13967600000007
17449488,440,303.8956480000001
18361143,448,310.86446800000004
17840132,457,315.70526
17002878,467,322.2031040000001
18148502,475,326.93456399999997
16531577,484,332.2834880000001
17405824,493,341.11448
15580431,503,349.13806000000005
15547150,511,351.7042519999999
15740354,521,360.91206400000004
15487864,530,369.13891599999994
15506133,538,369.02524399999993
15817655,548,379.87638000000004
15975520,556,383.4509520000002
14806429,566,388.9619279999998
14808211,573,396.9839880000001
14340729,583,401.32380799999993
14432552,592,411.280952
14521197,600,413.946832
14080430,610,418.80242
14605105,618,428.30515600000007
14265390,627,435.06198800000004
13325994,636,443.41342399999985
13904719,644,446.5326800000002
12667000,651,453.09863600000006
13029577,662,460.63704000000007
12694429,670,464.61755199999993
12662860,678,471.366128
13306115,687,478.8412839999999
12634029,697,481.9462000000001
12493122,706,491.776388
12077464,713,494.54073599999987
11834255,723,501.3619719999999
12238788,729,507.1734320000001
11268632,737,512.3168600000001
11964505,748,520.9832520000003
12301039,755,524.785932
11875441,765,531.201656
11205903,773,541.2483359999999
11992772,780,542.9762800000001
11366520,791,554.1502719999999
11559309,799,558.8345320000001
11565122,805,559.2567399999998
11049491,816,567.5774920000001
10807795,824,573.86482
11161713,832,582.1131719999997
10674898,841,590.4677639999998
10506415,849,593.103804
10770342,856,601.187692
10442922,866,605.70948
10574825,872,611.041372
10832489,882,618.5378400000002
10532437,890,624.8209040000003
10239021,899,630.9838920000002
