pairs_out_of_order,duration_ns
0,541097291
0,431213084
0,401941667
0,416999667
0,406163791
0,404719875
0,402593375
0,407577125
0,403345750
0,403320833
0,401691958
0,402006792
0,414088125
0,395928459
0,394780917
0,408620708
0,406128666
0,404379208
0,407608667
0,394969958
0,397461875
0,400860084
0,401167959
0,400783750
0,401017167
0,408585292
0,410681792
0,404104667
0,412172458
0,396836375
0,401670583
0,403531666
0,413828083
0,407836334
0,415330542
0,402430125
0,414194167
0,408470500
0,416599000
0,407116500
0,413340708
0,395853500
0,406981625
0,406157917
0,413201458
0,405953500
0,412030916
0,407348291
0,402382000
0,405274792
0,413523750
0,406399916
0,415199459
0,411148792
0,406426958
0,404801542
0,408660292
0,407698208
0,416428875
0,401058125
0,409266209
0,408340458
0,415093291
0,409138666
0,405009750
0,405607125
0,409341458
0,404771666
0,411933875
0,409570500
0,409342208
0,404142166
0,416096084
0,404695583
0,400988917
0,398640084
0,405005417
0,406337958
0,412203583
0,396060042
0,399290000
0,403367000
0,414677041
0,411130542
0,401228625
0,402108125
0,400876708
0,402053834
0,409909084
0,407160666
0,403373625
0,396302375
0,408297292
0,399177083
0,410971542
0,393163792
0,405379500
0,400856667
0,408638042
0,394630667
10,341986792
10,198245208
10,186599542
10,345646042
10,206573333
10,227428667
10,206314917
10,286183625
10,305764792
10,209748875
10,343793625
10,381340125
10,283110666
10,207665875
10,349184916
10,209156333
10,134250417
10,177429875
10,330043166
10,272509708
10,251910042
10,173219917
10,255289875
10,319108125
10,284348625
10,338736875
10,279602917
10,227397834
10,247596000
10,255156792
10,418497792
10,216507292
10,215756292
10,355228458
10,182073208
10,198137666
10,343169875
10,373785916
10,328845917
10,286866125
10,241909542
10,484810541
10,256465708
10,202428000
10,389867958
10,301936000
10,443194500
10,139918458
10,219471375
10,307590667
10,214280750
10,327203250
10,178528458
10,301750917
10,292027833
10,165073125
10,259572875
10,397122417
10,256855375
10,382399250
10,404063417
10,252940875
10,256697125
10,419833708
10,223120792
10,182143167
10,255664125
10,312211291
10,159564416
10,261257459
10,189750333
10,342074667
10,223260042
10,385491958
10,184431708
9,257456042
10,371948125
10,296490875
10,448637166
10,389852125
10,454596750
10,276877458
10,425377875
10,231433125
10,201796584
10,218606375
10,371356084
10,391263125
10,251285291
10,325941625
10,233710959
10,267849125
10,369070625
10,317756000
10,259988667
10,263326750
10,399732583
10,280917750
10,317171167
10,371704792
20,148164875
20,209175792
20,205124250
20,127993958
20,212374875
20,166316417
20,243678500
20,282003125
20,272431750
20,287420458
20,162183042
20,162902667
20,143098500
20,170770125
20,309720750
20,112612584
20,185571917
20,237553667
20,132731875
20,149229375
20,301077875
20,343876833
20,118876041
20,144572250
20,226377166
20,223313542
20,249516500
20,126050625
20,181910791
20,197491458
20,161949375
20,184100334
20,180586375
20,169522792
20,113061417
20,207191917
20,118995667
20,267261083
20,214827959
20,125354625
20,148002083
20,129478000
20,167179958
20,145494125
20,142663209
20,170149167
20,156980625
20,229572875
20,239229125
20,161927209
20,142714292
19,148109375
20,127241792
20,162296125
20,157900875
20,327086875
20,332639917
20,282809333
20,183043875
20,192812000
20,231582792
20,148354417
20,171139958
20,258065958
20,263298542
20,201336792
20,109523916
20,138868458
20,261323833
20,114692875
20,129683958
20,228426208
20,195001417
20,166238916
20,134913500
19,292940208
20,162257166
20,221098083
20,88353458
20,123953625
20,147827000
20,133832750
20,159810334
20,158644875
20,132532375
20,177964000
20,213626708
20,166161750
20,141310042
20,168041458
20,149905125
20,298610416
20,182248958
20,212383167
20,204520041
20,131306542
20,164350208
20,202431125
20,208919084
20,220266083
30,131739791
30,198013666
30,94104334
29,70795250
30,175168500
30,194954375
30,164521833
30,148894458
30,96683583
30,110300958
30,129869875
30,93763916
30,159134208
30,105388250
30,143995000
30,105383958
30,127208500
30,138666250
30,169027042
30,195186083
30,172854583
30,214037666
30,140862958
30,162184834
30,98207458
30,154055375
29,186428250
30,170775042
30,111609167
30,109987625
30,177166667
30,202269625
29,140832375
30,195215959
30,123182500
30,168063917
30,179083291
30,93925541
30,150811583
29,174012875
30,184527125
30,107903000
29,92420542
30,201743000
30,145883584
30,116064833
30,153495333
30,146293708
30,119742417
30,152618500
30,168050458
30,219026958
30,76011375
30,139164250
30,152114250
30,130790000
29,127198666
30,196674375
30,184639000
30,161383875
30,97947500
30,94839000
30,120858875
30,97352208
30,191146292
30,137076125
30,126860375
30,105444250
30,161154792
30,133069000
30,136393167
30,118019291
29,128414958
29,158582417
30,180349375
30,131755708
30,121772042
30,188471875
30,97036000
30,200092459
30,165754875
30,103488375
30,127944917
29,172494000
30,189915042
30,98158459
30,120177875
30,194370791
30,112995833
30,242416375
30,152892333
30,145129334
29,110434250
30,103253500
30,216256583
30,313086667
30,104192250
30,137045583
30,66714708
30,111572791
40,84503875
40,213002000
40,64294542
40,110020917
40,124209208
40,100395500
40,246161375
39,124824625
40,123979542
40,165479958
40,73084083
40,155775708
40,144210834
40,127069708
39,87100541
40,112904750
40,72794125
40,191859291
40,73620333
39,113187708
40,144101750
40,150666709
40,119569583
40,61859333
40,63506417
40,76897458
40,126592917
40,138905917
40,104545250
40,73892583
40,80618209
40,83188375
40,173487500
40,108750000
40,93558917
40,106997916
40,74098250
40,121290958
39,107840000
40,186458375
40,99894083
40,75829416
40,129377750
40,171297833
40,166044125
39,111614000
40,49906417
40,165944458
40,103908250
40,189556417
40,125342500
40,129575625
40,195593125
40,80753125
40,119270958
40,133535458
40,142203041
40,178538417
40,78698208
40,144791709
40,109604042
39,116798125
39,167346459
39,83316959
40,117094250
40,162104250
40,87976292
39,244699708
40,78050791
40,117762334
39,85860667
40,129892583
40,119459084
40,118438958
40,155175292
40,127045041
40,100483375
40,90215292
40,103006750
40,79841584
39,133917958
40,138633750
40,119996416
40,165103000
40,139768750
39,90478625
40,69800958
40,95281041
40,150846667
40,96742000
39,170095583
40,123714958
40,161133375
40,160574834
40,87160167
40,65299250
40,92099125
40,115031833
40,139560917
40,108881167
50,101838417
50,91363000
49,73449792
50,116199709
49,107013791
49,115773583
50,49051167
50,59484542
50,89415750
50,113880291
50,90122625
50,41608208
50,81381500
50,94656500
50,144320583
50,202032208
50,109169459
50,147989083
49,114230250
50,53948708
49,99410458
49,75171458
50,149363042
50,96095667
49,119790625
50,60315334
50,65053375
50,75345042
50,128344125
50,74634750
50,48688166
50,53976625
50,145412250
50,66136041
50,53729792
48,66655208
50,79339042
49,83889542
50,122369833
50,103708875
50,107657917
49,174308208
50,187860083
49,125750958
50,186164250
50,165453292
50,158865792
50,111419875
50,112760042
50,92766167
50,140050500
50,187327709
50,76376375
50,127402042
50,126681916
50,54470042
50,53938500
49,64074000
49,78332500
50,70571750
50,61922125
50,96678542
50,89876833
50,73981083
50,88823083
50,139837083
50,76820959
50,101547583
50,85521750
48,68796792
49,57917750
50,125031333
50,88557792
50,124174292
50,76395000
50,155434000
50,79338292
48,126117375
49,95921375
49,130992625
50,106142500
50,101669958
50,64049459
50,100353125
50,112098458
48,107475791
49,138268417
50,105414958
50,81542833
50,122291208
50,74855542
50,86392125
50,94333917
50,60795500
50,85309875
49,58994041
49,226307709
50,61589083
50,92893792
50,113323625
60,79553042
60,113704000
60,69859792
60,67287875
60,63076666
60,110841917
60,134718625
59,150801292
60,133390208
60,161738500
59,136516792
60,41412750
59,56016333
60,182005667
60,81172292
59,70560583
60,58725334
60,49865042
60,75044417
60,61725375
60,123368917
60,94559416
60,158982541
60,51416792
59,74499333
59,124188375
60,69590917
60,101619250
59,99417958
60,79793375
60,73414833
60,68468750
59,60667667
59,85888625
59,48316375
60,75538250
60,127824083
58,67365708
60,114956458
59,85176833
60,131405084
59,72010333
60,98864208
60,66798625
60,148072125
60,79426625
60,108978500
60,63232625
59,53485458
60,195383042
60,70137500
59,143007417
60,106309916
59,57961667
59,56844334
60,112596750
60,203264750
60,74315208
60,68062000
60,163658417
60,94192334
60,118083958
60,86367375
60,47634708
60,64973667
60,64146375
58,71221709
60,88845625
60,55081333
60,64110542
60,167148000
60,61726834
60,66384542
60,126375833
60,137803834
58,41281417
60,136458125
58,78976708
60,113794375
58,92540209
59,79553250
60,66373459
60,159843458
60,89297416
60,58601500
60,45546584
59,117615292
60,117659584
60,69469708
60,77247417
60,52275292
60,62166667
60,75712708
59,83764792
60,88213166
59,74498792
60,65990625
59,86292500
60,101175291
60,77801834
70,142994666
69,41376916
69,57969375
68,51286000
70,70626542
69,53728833
69,82389125
69,84447667
68,143835792
70,81024750
70,50591666
69,94573125
70,57362375
70,51702542
70,129821833
70,47173375
69,95550250
69,162901000
70,100178625
70,99203333
70,56941583
69,33622458
70,83745417
70,100165500
69,68153291
70,48605833
70,79044917
69,44445708
70,90151958
70,71333959
70,111448500
70,87398542
69,84362750
70,71334792
69,112214959
69,108160583
70,72345667
69,74119583
69,62827834
69,78373375
70,71846792
68,113052416
69,132197083
69,63089625
69,72620917
70,70925500
69,93788083
70,66465417
70,67839875
69,193285542
70,110622667
70,77313500
69,103760500
70,88142959
70,119526667
70,79863375
70,65433667
69,61787709
70,145116250
70,106030625
70,60560667
69,70850083
67,100801042
70,67042667
70,70783667
70,77326958
70,62538584
69,56627000
69,118827167
69,91277125
69,73504208
69,90195625
69,55908375
69,82485416
70,144211791
69,56018917
70,85490375
69,99519334
68,90837167
70,58303958
70,50815542
70,113779041
70,90753542
70,60484167
67,117879250
70,61193750
70,88357833
70,44767334
70,79476875
70,107605667
70,147516500
70,91047833
69,55046917
69,65085833
70,104234958
69,104833375
70,36940083
70,69806292
70,95096958
70,59469208
79,73917458
79,90129583
80,59712458
79,40795541
80,106475375
80,42795417
79,115000209
78,95311125
78,77856334
80,80485334
80,65021500
80,57620166
79,94685292
80,90575708
80,84907875
79,67600333
79,39440500
80,64992416
80,117338458
79,74929917
80,53244750
79,42185500
79,92552583
80,67985542
77,52824709
80,63161667
80,98675625
78,58976583
80,47541583
79,102040708
80,83358292
79,42632042
80,49111667
78,83341875
77,68406750
77,49462875
78,30414125
80,57259084
80,130954000
80,91640958
80,36576292
79,45563625
80,67608208
79,63612208
79,48973750
80,80878500
80,58467625
80,65440791
80,145087875
80,62132958
80,80736416
79,66275375
79,100736083
80,81087708
80,70388041
79,71464333
79,51015833
80,38391500
80,60840625
80,63746125
80,71839083
80,46504750
80,94142166
78,104278292
79,62372583
80,94232333
79,50343042
80,98268250
78,58646917
80,65265583
79,53929750
80,46501083
80,65923750
80,83697917
80,70001917
79,158113625
79,59039959
80,78425417
80,37886917
80,40642500
79,42645416
80,68983000
79,37926667
79,64359291
79,101723292
79,68706084
80,64095167
79,54160834
79,102348083
79,102536875
80,81151583
80,61470417
78,55128292
80,92849166
78,74129708
79,68445917
80,53588375
79,73326833
80,54795666
79,125217042
90,62164375
89,91382292
89,31754958
89,66104959
90,50625334
90,79780250
89,161162834
90,68844709
89,69817334
90,42775792
88,46852042
88,74653458
88,73164250
89,95937709
87,88099709
90,56988875
90,40417000
89,84374625
87,102890959
90,70317000
89,84837542
90,34079292
90,44059292
88,60751208
90,37990542
90,64743750
90,58088417
89,59858833
89,71913875
90,68449416
89,76828292
89,60239416
90,48631125
89,35950667
89,95891583
90,37163458
90,48594708
89,77011000
88,91182791
90,51287667
89,40284542
90,66564916
88,76945292
89,39656375
89,45838125
89,147669958
90,77293292
89,71716083
90,55955000
89,42705125
90,72596500
90,29653333
86,43162292
89,79340417
89,49932542
89,95709125
90,48527083
90,126529041
90,42223542
89,57922750
90,120040208
90,65674542
89,65085958
89,43592000
90,39022917
90,71206875
90,79345375
89,97716958
89,77883667
87,53421667
90,65153250
90,54149750
90,74642292
89,45838042
89,102674125
90,64985208
89,43222708
90,49051417
87,62825375
90,103772042
90,113631500
90,39734625
89,117440833
88,46338708
90,82116458
90,92753709
89,132776625
89,111401667
90,80813958
89,46452542
90,49053250
90,50769500
90,54685666
89,55127667
88,46681000
89,114013500
90,44491583
90,51522666
90,62585417
90,78075750
100,35615333
100,54976083
99,56242625
98,58115875
100,34251291
99,25088667
100,56945291
100,84887666
100,34949333
100,93472416
97,31688000
100,46569167
97,46697167
100,53880542
99,42841625
99,44945916
99,41526833
98,47957750
95,122982208
99,59106458
98,66495542
100,66582084
100,87878750
100,65727416
100,59154542
97,67454708
99,78710083
99,78031750
99,82983833
98,59645500
97,53953792
100,59589792
100,43516375
99,53503541
99,82824084
99,78794292
99,45725083
95,35354500
100,81426459
99,65567041
100,64067042
100,74329208
99,90872666
99,59672375
98,32228209
100,44226417
99,58982750
100,57920000
99,107480542
100,92789041
99,51460500
100,78223458
100,107937250
99,57073208
97,37498708
98,70609208
97,45055583
100,62621875
98,39504750
98,32042666
98,50000750
98,50777125
100,28261083
97,56058375
99,73298459
99,82333834
100,57953000
100,69442250
100,63346292
100,68226833
100,54297875
97,42072625
99,89289166
100,44639417
100,47953166
100,95205625
99,60347166
100,42494875
100,63304084
98,47879750
100,65620375
97,68097875
99,63880125
99,80794875
99,74278667
99,56654334
100,57038125
100,38555792
99,52715542
100,88897417
99,40915292
98,70625583
99,70552459
100,58200500
100,73614750
99,58671792
97,55228917
99,75101500
99,74854166
98,77167750
107,38186459
109,65826125
108,30065792
109,67296209
109,49543917
108,56082625
110,111036291
110,48334833
109,67526791
108,70058000
110,39068917
109,55225417
109,51575208
109,58342750
109,53822250
110,78658417
110,33576458
107,55318958
110,89740792
110,50213416
109,79003417
110,65783583
109,29808458
108,48463833
110,74323583
108,58261667
110,46894833
109,80636042
110,43301584
109,43248250
109,62758542
110,90794458
108,38957125
107,59105667
109,47359334
110,44446333
106,56586334
109,59524375
110,53516083
109,79063083
110,88010916
110,48751542
109,39894708
109,51944708
107,58254041
109,93949583
109,23403458
110,50781542
108,64939459
109,42194625
110,94921583
109,41580500
107,48331458
108,74585958
108,46184708
107,56580125
108,44695583
106,45613875
110,53079791
109,42593292
110,63228125
110,47024583
108,53667167
110,34250458
108,83360583
109,87508667
